accel frontline
accenture
accenture limited
accenture ltd
aditi technologies
adrenalin esystems
aftek
agile soft systems
at&t
atom technologies
atos global it solutions
bank of america
blue star infotech
bnp paribas
capgemini
capgemini india pvt ltd
careerbuilder.com
c-dac
cgi india
chase
cmc limited
cognizant technologies and solutions
cognizant technology solutions
comcast
compaq
computer science corporation
dhl lemuir logistics pvt ltd
eclerx services limited
exponential interactivejugnoo
farmers insurance
freelance
fujitsu consulting
general motors
godrej infotech ltd
harbinger systems
hcl technologies
home depot
honeywell
hsbc glt india
ibm
ibm india pvt ltd
igate
infosys
infosys limited
infosys ltd
infosys pvt ltd
just buy live enterprise pvt ltd
kaiser permanente
kpit technologies
kray software llp
kryptoblocks
mastek
maxima inc
melstar information technologies
microland
microsoft inc
microsoft india pl
mistral solutions
mobme
monsoon multimedia
morgan & chase india private limited
mphasis
neiman marcus
nevpro business solutions
niit technologies
nnointel
npower limited
nucleus software exports ltd
onward technologies
oracle financial services software limited
oswald labs
persistent systems
polaris financial technology limited
pramati technologies
prodapt solutions
quest global
ramco systems
rapid core intelligence management inc
rediff.com
robert bosch
samsung india software center
sap labs
sasken
siebel systems
skymap global pvt ltd
sonata software
sopra steria
southwest airline
span infotech (india) pvt ltd
suntrust
synechron technologies private limited
syntel pvt ltd
tata consultancy services
tata consultancy services ltd
tata consulting services
tata interactive systems
tcs
tech mahindra
technex technologies private limited
toyota
trianz
ust global
verizon
websense
wells fargo
wipro
wipro limited
wipro technologies
wns global services
zensar technologies
